Facility Name,Facility ID,State,Measure Name,Excess Readmission Ratio,Observed Readmission Rate,Expected Readmission Rate,Excess Readmissions Threshold
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,1.0008,17.9843,17.9699,Above Threshold
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,1.0167,11.9626,11.7663,Above Threshold
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-PN-HRRP,0.961,16.7335,17.413,Below Threshold
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,1.1095,21.2027,19.11,Above Threshold
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-COPD-HRRP,1.0344,20.507,19.825,Above Threshold
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-AMI-HRRP,1.0062,12.4327,12.3566,Above Threshold
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-CABG-HRRP,0.944,8.8183,9.3417,Below Threshold
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HIP-KNEE-HRRP,0.9173,4.1208,4.4925,Below Threshold
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-PN-HRRP,1.0892,18.0978,16.6152,Above Threshold
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-COPD-HRRP,1.0125,21.0181,20.7589,Above Threshold
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-CABG-HRRP,1.0353,12.1039,11.6912,Above Threshold
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-AMI-HRRP,1.0693,16.1899,15.1403,Above Threshold
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HIP-KNEE-HRRP,1.1785,8.0933,6.8672,Above Threshold
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,0.8908,18.255,20.4934,Below Threshold
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HIP-KNEE-HRRP,0.9921,4.7113,4.7486,Below Threshold
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,1.0905,20.8074,19.0802,Above Threshold
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,0.9772,12.2048,12.489,Below Threshold
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-PN-HRRP,1.0232,16.018,15.6549,Above Threshold
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-COPD-HRRP,1.0903,20.6265,18.9178,Above Threshold
ANDALUSIA HEALTH,10036,AL,READM-30-PN-HRRP,1.0269,17.5026,17.0433,Above Threshold
ANDALUSIA HEALTH,10036,AL,READM-30-HIP-KNEE-HRRP,1.1266,5.3022,4.7064,Above Threshold
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,1.0418,22.2181,21.3276,Above Threshold
ANDALUSIA HEALTH,10036,AL,READM-30-COPD-HRRP,0.9188,19.3434,21.0533,Below Threshold
HUNTSVILLE HOSPITAL,10039,AL,READM-30-CABG-HRRP,0.8286,8.2787,9.9909,Below Threshold
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HIP-KNEE-HRRP,1.2916,5.698,4.4117,Above Threshold
HUNTSVILLE HOSPITAL,10039,AL,READM-30-AMI-HRRP,0.8867,10.7176,12.0875,Below Threshold
HUNTSVILLE HOSPITAL,10039,AL,READM-30-COPD-HRRP,0.9641,17.0,17.6328,Below Threshold
HUNTSVILLE HOSPITAL,10039,AL,READM-30-PN-HRRP,0.9794,15.7055,16.0354,Below Threshold
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1.0105,20.1021,19.8942,Above Threshold
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-PN-HRRP,0.9275,16.9822,18.31,Below Threshold
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-AMI-HRRP,0.9927,14.1466,14.2505,Below Threshold
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,0.9684,21.1509,21.8409,Below Threshold
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-CABG-HRRP,0.9522,10.4307,10.9538,Below Threshold
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-COPD-HRRP,0.9809,19.2423,19.6177,Below Threshold
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,0.8794,4.5142,5.1331,Below Threshold
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HF-HRRP,0.9701,16.3804,16.8845,Below Threshold
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-PN-HRRP,0.978,14.6968,15.0276,Below Threshold
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HF-HRRP,0.9651,15.5782,16.1419,Below Threshold
FAYETTE MEDICAL CENTER,10045,AL,READM-30-PN-HRRP,1.0211,13.7076,13.4242,Above Threshold
FAYETTE MEDICAL CENTER,10045,AL,READM-30-COPD-HRRP,1.0644,17.4469,16.3912,Above Threshold
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,1.0992,24.5086,22.2965,Above Threshold
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-AMI-HRRP,0.9672,15.1514,15.6649,Below Threshold
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-COPD-HRRP,1.0473,19.9721,19.07,Above Threshold
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-PN-HRRP,1.0974,19.8195,18.0597,Above Threshold
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HIP-KNEE-HRRP,1.037,4.0484,3.904,Above Threshold
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-PN-HRRP,1.0585,15.6623,14.796,Above Threshold
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-COPD-HRRP,1.0801,17.8559,16.5314,Above Threshold
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,1.0232,18.5527,18.1327,Above Threshold
FLOWERS HOSPITAL,10055,AL,READM-30-PN-HRRP,0.974,15.2113,15.6174,Below Threshold
FLOWERS HOSPITAL,10055,AL,READM-30-CABG-HRRP,1.0557,11.6453,11.0312,Above Threshold
FLOWERS HOSPITAL,10055,AL,READM-30-HIP-KNEE-HRRP,1.1823,4.6657,3.9463,Above Threshold
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,1.0085,19.8119,19.6442,Above Threshold
FLOWERS HOSPITAL,10055,AL,READM-30-COPD-HRRP,0.961,18.1308,18.8676,Below Threshold
FLOWERS HOSPITAL,10055,AL,READM-30-AMI-HRRP,1.022,12.8549,12.5783,Above Threshold
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-AMI-HRRP,1.02,13.1482,12.8898,Above Threshold
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-PN-HRRP,0.9772,15.9745,16.3467,Below Threshold
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-CABG-HRRP,1.0344,11.1665,10.7948,Above Threshold
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HIP-KNEE-HRRP,0.7497,3.2202,4.2954,Below Threshold
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-COPD-HRRP,0.9981,17.6582,17.6925,Below Threshold
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,0.9587,19.0432,19.8635,Below Threshold
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-PN-HRRP,0.9783,16.1829,16.5417,Below Threshold
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-PN-HRRP,0.9879,15.5209,15.7111,Below Threshold
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-HF-HRRP,0.9518,16.9116,17.7682,Below Threshold
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-COPD-HRRP,1.0157,17.9831,17.7052,Above Threshold
WIREGRASS MEDICAL CENTER,10062,AL,READM-30-PN-HRRP,0.9589,15.5285,16.1934,Below Threshold
RUSSELL MEDICAL CENTER,10065,AL,READM-30-PN-HRRP,0.9636,15.4063,15.9878,Below Threshold
RUSSELL MEDICAL CENTER,10065,AL,READM-30-AMI-HRRP,1.0021,14.4368,14.4067,Above Threshold
RUSSELL MEDICAL CENTER,10065,AL,READM-30-COPD-HRRP,0.9846,15.4636,15.7063,Below Threshold
RUSSELL MEDICAL CENTER,10065,AL,READM-30-HF-HRRP,1.011,20.5563,20.3317,Above Threshold
MEDICAL CENTER BARBOUR,10069,AL,READM-30-HF-HRRP,0.9658,18.6664,19.3278,Below Threshold
MEDICAL CENTER BARBOUR,10069,AL,READM-30-PN-HRRP,0.9521,12.2581,12.8752,Below Threshold
CLAY COUNTY HOSPITAL,10073,AL,READM-30-PN-HRRP,0.9913,13.7434,13.8647,Below Threshold
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-HF-HRRP,0.973,19.8509,20.4011,Below Threshold
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-AMI-HRRP,1.0104,15.3488,15.1906,Above Threshold
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-PN-HRRP,0.9288,15.5676,16.761,Below Threshold
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-HIP-KNEE-HRRP,1.4087,6.0702,4.3092,Above Threshold
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-COPD-HRRP,0.8776,17.1467,19.5385,Below Threshold
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-HF-HRRP,1.025,20.1217,19.6305,Above Threshold
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-HIP-KNEE-HRRP,0.925,3.7869,4.0939,Below Threshold
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-COPD-HRRP,1.0013,18.9989,18.975,Above Threshold
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-PN-HRRP,1.0627,16.4996,15.526,Above Threshold
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-HIP-KNEE-HRRP,0.9973,4.6672,4.6796,Below Threshold
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-HF-HRRP,0.9663,19.2755,19.947,Below Threshold
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-PN-HRRP,0.9704,15.3558,15.8238,Below Threshold
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-COPD-HRRP,0.9428,17.4758,18.5365,Below Threshold
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-AMI-HRRP,1.0114,13.11,12.9621,Above Threshold
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-HIP-KNEE-HRRP,1.2317,6.5029,5.2797,Above Threshold
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-PN-HRRP,1.048,16.8457,16.0742,Above Threshold
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-HF-HRRP,0.9516,18.6437,19.5909,Below Threshold
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-COPD-HRRP,1.053,17.2046,16.3389,Above Threshold
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-AMI-HRRP,0.9643,15.5707,16.1465,Below Threshold
NORTHWEST MEDICAL CENTER,10086,AL,READM-30-HF-HRRP,1.01,18.682,18.4962,Above Threshold
NORTHWEST MEDICAL CENTER,10086,AL,READM-30-PN-HRRP,0.9556,14.2832,14.9467,Below Threshold
NORTHWEST MEDICAL CENTER,10086,AL,READM-30-COPD-HRRP,0.9622,16.882,17.5456,Below Threshold
USA HEALTH UNIVERSITY HOSPITAL,10087,AL,READM-30-PN-HRRP,0.9575,18.3683,19.1834,Below Threshold
USA HEALTH UNIVERSITY HOSPITAL,10087,AL,READM-30-HF-HRRP,0.9831,19.704,20.0428,Below Threshold
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-COPD-HRRP,1.0575,19.103,18.0637,Above Threshold
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-PN-HRRP,0.9859,15.2313,15.4491,Below Threshold
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-HF-HRRP,1.044,20.1101,19.2619,Above Threshold
PROVIDENCE HOSPITAL,10090,AL,READM-30-HIP-KNEE-HRRP,0.9101,3.9317,4.3199,Below Threshold
PROVIDENCE HOSPITAL,10090,AL,READM-30-AMI-HRRP,0.9647,11.8088,12.2407,Below Threshold
PROVIDENCE HOSPITAL,10090,AL,READM-30-COPD-HRRP,0.9792,16.1223,16.4652,Below Threshold
PROVIDENCE HOSPITAL,10090,AL,READM-30-CABG-HRRP,1.0407,10.8372,10.413,Above Threshold
PROVIDENCE HOSPITAL,10090,AL,READM-30-HF-HRRP,1.0336,20.5453,19.8771,Above Threshold
PROVIDENCE HOSPITAL,10090,AL,READM-30-PN-HRRP,1.048,16.7918,16.0224,Above Threshold
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-HIP-KNEE-HRRP,0.9965,4.0932,4.1074,Below Threshold
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-CABG-HRRP,1.1007,9.9602,9.049,Above Threshold
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-AMI-HRRP,0.99,12.2546,12.3786,Below Threshold
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-HF-HRRP,0.986,19.6491,19.9273,Below Threshold
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-COPD-HRRP,1.0544,20.3768,19.3258,Above Threshold
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-PN-HRRP,1.1162,18.4642,16.5417,Above Threshold
D W MCMILLAN MEMORIAL HOSPITAL,10099,AL,READM-30-PN-HRRP,0.9725,12.6018,12.9577,Below Threshold
D W MCMILLAN MEMORIAL HOSPITAL,10099,AL,READM-30-HF-HRRP,0.9683,15.666,16.1791,Below Threshold
THOMAS HOSPITAL,10100,AL,READM-30-CABG-HRRP,1.0666,11.4573,10.7415,Above Threshold
THOMAS HOSPITAL,10100,AL,READM-30-AMI-HRRP,1.0332,11.6102,11.2371,Above Threshold
THOMAS HOSPITAL,10100,AL,READM-30-HIP-KNEE-HRRP,0.7685,3.2047,4.1698,Below Threshold
THOMAS HOSPITAL,10100,AL,READM-30-PN-HRRP,1.013,15.1131,14.9197,Above Threshold
THOMAS HOSPITAL,10100,AL,READM-30-COPD-HRRP,0.9746,17.4655,17.9201,Below Threshold
THOMAS HOSPITAL,10100,AL,READM-30-HF-HRRP,1.0874,20.6159,18.9581,Above Threshold
CITIZENS BAPTIST MEDICAL CENTER,10101,AL,READM-30-HF-HRRP,1.0852,21.3915,19.7123,Above Threshold
CITIZENS BAPTIST MEDICAL CENTER,10101,AL,READM-30-PN-HRRP,1.0752,15.4995,14.4155,Above Threshold
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-AMI-HRRP,1.0024,14.8774,14.8411,Above Threshold
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-HF-HRRP,0.9497,19.6576,20.6981,Below Threshold
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-COPD-HRRP,1.0252,19.9805,19.4895,Above Threshold
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-HIP-KNEE-HRRP,1.0314,5.1755,5.0179,Above Threshold
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-PN-HRRP,1.009,19.5048,19.33,Above Threshold
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-CABG-HRRP,1.0058,11.442,11.3756,Above Threshold
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-COPD-HRRP,1.033,20.2006,19.5551,Above Threshold
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-PN-HRRP,0.9787,16.9752,17.3443,Below Threshold
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-CABG-HRRP,1.2213,13.0999,10.7264,Above Threshold
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-HF-HRRP,0.9931,20.5472,20.6898,Below Threshold
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-AMI-HRRP,1.0074,13.8251,13.724,Above Threshold
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-HIP-KNEE-HRRP,1.0518,4.6805,4.4501,Above Threshold
PRATTVILLE BAPTIST HOSPITAL,10108,AL,READM-30-PN-HRRP,0.9373,14.5253,15.4977,Below Threshold
PRATTVILLE BAPTIST HOSPITAL,10108,AL,READM-30-HF-HRRP,1.0214,20.1797,19.7577,Above Threshold
PRATTVILLE BAPTIST HOSPITAL,10108,AL,READM-30-COPD-HRRP,0.9302,18.262,19.6331,Below Threshold
WHITFIELD REGIONAL HOSPITAL,10112,AL,READM-30-PN-HRRP,0.9457,16.8023,17.7676,Below Threshold
WHITFIELD REGIONAL HOSPITAL,10112,AL,READM-30-HF-HRRP,1.0017,20.4905,20.4551,Above Threshold
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-CABG-HRRP,1.1263,11.5464,10.2517,Above Threshold
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-COPD-HRRP,0.9934,18.0298,18.1493,Below Threshold
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-PN-HRRP,0.9698,16.1565,16.6604,Below Threshold
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-HF-HRRP,0.9312,19.2105,20.6302,Below Threshold
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-AMI-HRRP,1.0774,14.804,13.7409,Above Threshold
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-HIP-KNEE-HRRP,0.9139,3.7599,4.1142,Below Threshold
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,AL,READM-30-HF-HRRP,0.9121,19.5282,21.4111,Below Threshold
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,AL,READM-30-PN-HRRP,1.0055,15.7887,15.7027,Above Threshold
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,AL,READM-30-COPD-HRRP,0.9765,18.5397,18.9861,Below Threshold
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,AL,READM-30-PN-HRRP,1.0399,18.2019,17.5037,Above Threshold
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,AL,READM-30-COPD-HRRP,0.946,16.3679,17.3019,Below Threshold
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,AL,READM-30-HF-HRRP,0.946,19.1295,20.2217,Below Threshold
MONROE COUNTY HOSPITAL,10120,AL,READM-30-PN-HRRP,1.0198,11.401,11.18,Above Threshold
LAKELAND COMMUNITY HOSPITAL,10125,AL,READM-30-PN-HRRP,0.9024,12.1398,13.4533,Below Threshold
LAKELAND COMMUNITY HOSPITAL,10125,AL,READM-30-COPD-HRRP,0.9232,13.8283,14.9794,Below Threshold
LAKELAND COMMUNITY HOSPITAL,10125,AL,READM-30-HF-HRRP,1.0292,17.2219,16.7334,Above Threshold
TROY REGIONAL MEDICAL CENTER,10126,AL,READM-30-PN-HRRP,0.9899,13.7027,13.8426,Below Threshold
TROY REGIONAL MEDICAL CENTER,10126,AL,READM-30-HF-HRRP,1.0511,16.1849,15.3987,Above Threshold
JACKSON MEDICAL CENTER,10128,AL,READM-30-PN-HRRP,1.0266,11.9268,11.6178,Above Threshold
JACKSON MEDICAL CENTER,10128,AL,READM-30-HF-HRRP,1.0363,15.1888,14.6561,Above Threshold
NORTH BALDWIN INFIRMARY,10129,AL,READM-30-PN-HRRP,1.0468,15.1323,14.4564,Above Threshold
NORTH BALDWIN INFIRMARY,10129,AL,READM-30-HF-HRRP,0.9806,18.8692,19.2431,Below Threshold
ST VINCENT'S ST CLAIR,10130,AL,READM-30-COPD-HRRP,1.0242,16.652,16.259,Above Threshold
ST VINCENT'S ST CLAIR,10130,AL,READM-30-PN-HRRP,0.9549,14.593,15.2825,Below Threshold
ST VINCENT'S ST CLAIR,10130,AL,READM-30-HF-HRRP,1.0213,17.8471,17.475,Above Threshold
CRESTWOOD MEDICAL CENTER,10131,AL,READM-30-HIP-KNEE-HRRP,0.8682,2.9709,3.4218,Below Threshold
CRESTWOOD MEDICAL CENTER,10131,AL,READM-30-PN-HRRP,1.0231,15.982,15.6216,Above Threshold
CRESTWOOD MEDICAL CENTER,10131,AL,READM-30-HF-HRRP,1.0513,20.4602,19.4619,Above Threshold
CRESTWOOD MEDICAL CENTER,10131,AL,READM-30-COPD-HRRP,0.9782,17.4441,17.8334,Below Threshold
