Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Promotes Interoperability of EHRs,Birthing Friendly Facility,Hospital Overall Rating,Count of Facility MORT Measures,MORT Measures Better,MORT Measures Worse,Count of Facility Safety Measures,Safety Measures Better,Safety Measures Worse,Count of Facility READM Measures,READM Measures Better,READM Measures Worse,Facility ID,MORT-30-AMI Benchmark,MORT-30-AMI Performance Rate,MORT-30-HF Benchmark,MORT-30-HF Performance Rate,MORT-30-PN Benchmark,MORT-30-PN Performance Rate,MORT-30-COPD Benchmark,MORT-30-COPD Performance Rate,AMI Normative Performance Index,HF Normative Performance Index,PN Normative Performance Index,COPD Normative Performance Index,AMI Performance Comparison,HF Performance Comparison,PN Performance Comparison,COPD Performance Comparison
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 934-4011,Acute Care Hospitals,Government - State,Yes,Y,Y,3,7.0,2.0,0.0,8.0,3.0,2.0,11.0,1.0,2.0,10033,0.887868,0.8675220012664795,0.907733,0.9012699723243713,0.872976,0.8408079743385315,0.934002,0.9055410027503967,0.9770844328959705,0.9928800344642877,0.9631513058074123,0.9695279054545887,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,N,2,5.0,0.0,1.0,7.0,1.0,0.0,8.0,1.0,1.0,10035,0.887868,0.8787670135498047,0.907733,0.8653619885444641,0.872976,0.7802330255508423,0.934002,0.909358024597168,0.9897496176794351,0.9533221647163473,0.8937622861921087,0.9736146438628268,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,Acute Care Hospitals,Proprietary,Yes,Y,Y,3,4.0,0.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,10036,0.887868,0.8742327837351045,0.907733,0.8807410001754761,0.872976,0.7603470087051392,0.934002,0.9136750102043152,0.984642743893354,0.9702643841035592,0.8709827174001796,0.9782366742301571,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,(256) 265-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,2,7.0,0.0,2.0,8.0,1.0,2.0,11.0,1.0,3.0,10039,0.887868,0.8540300130844116,0.907733,0.8475319743156433,0.872976,0.7614269852638245,0.934002,0.8745030164718628,0.9618884936549258,0.9336798092783266,0.87221983796098,0.9362967279212066,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,(256) 494-4000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,7.0,0.0,0.0,7.0,2.0,1.0,9.0,0.0,2.0,10040,0.887868,0.878807008266449,0.907733,0.8846409916877747,0.872976,0.7912369966506958,0.934002,0.9083589911460876,0.9897946634707513,0.9745607923120286,0.9063674106168965,0.9725450171906352,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,(205) 932-5966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,N,4,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,10045,0.887868,0.8742327837351045,0.907733,0.8867419958114624,0.872976,0.8197709918022156,0.934002,0.9049959778785706,0.984642743893354,0.9768753541090412,0.939053297916799,0.9689443682974668,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,(256) 543-5200,Acute Care Hospitals,Proprietary,Yes,Y,N,3,6.0,0.0,0.0,7.0,2.0,0.0,8.0,0.0,0.0,10046,0.887868,0.8824859857559204,0.907733,0.8777089715003967,0.872976,0.824957013130188,0.934002,0.8956220149993896,0.9939382720808954,0.9669241632731175,0.9449939209442046,0.9589080269628862,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,4.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,10049,0.887868,0.8742327837351045,0.907733,0.8836889863014221,0.872976,0.7755500078201294,0.934002,0.8940799832344055,0.984642743893354,0.9735120198355928,0.8883978572379189,0.957257032891156,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,(334) 793-5000,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,7.0,0.0,3.0,8.0,1.0,0.0,9.0,0.0,0.0,10055,0.887868,0.8470929861068726,0.907733,0.8500459790229797,0.872976,0.7824429869651794,0.934002,0.8904780149459839,0.9540753649268501,0.9364493513213464,0.8962938121611356,0.953400544052351,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,(205) 939-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,7.0,0.0,0.0,8.0,1.0,0.0,9.0,2.0,2.0,10056,0.887868,0.8599640130996704,0.907733,0.8962590098381042,0.872976,0.8401859998703003,0.934002,0.9006199836730957,0.9685719195867747,0.9873597300506913,0.962438829784897,0.9642591596946213,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,1,4.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,10061,0.887868,0.8742327837351045,0.907733,0.8731949925422668,0.872976,0.8002030253410339,0.934002,0.9057329893112183,0.984642743893354,0.9619513585407459,0.916638058023398,0.9697334580774113,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,4.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,10065,0.887868,0.8742327837351045,0.907733,0.8747869729995728,0.872976,0.796887993812561,0.934002,0.9047709703445435,0.984642743893354,0.963705156692081,0.9128406666535632,0.9687034613893155,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,Acute Care Hospitals,Government - Local,Yes,Y,Y,2,6.0,0.0,0.0,7.0,1.0,0.0,10.0,1.0,0.0,10078,0.887868,0.8869820237159729,0.907733,0.8814640045166016,0.872976,0.8067020177841187,0.934002,0.9149860143661499,0.9990021306274952,0.9710608786026305,0.9240826984752372,0.9796403159373854,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,(256) 233-9292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,N,4,4.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,10079,0.887868,0.8742327837351045,0.907733,0.8872010111808777,0.872976,0.8105210065841675,0.934002,0.9114969968795776,0.984642743893354,0.9773810263380065,0.928457376358763,0.9759047591756523,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,(251) 949-3400,Acute Care Hospitals,Proprietary,Yes,Y,Y,4,6.0,0.0,0.0,6.0,1.0,0.0,8.0,0.0,1.0,10083,0.887868,0.8744180202484131,0.907733,0.8877469897270203,0.872976,0.7931749820709229,0.934002,0.9080730080604553,0.9848513745831735,0.9779825011617075,0.9085873862178604,0.9722388261057849,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,2,6.0,0.0,0.0,7.0,2.0,0.0,8.0,0.0,1.0,10085,0.887868,0.8715159893035889,0.907733,0.8885790109634399,0.872976,0.7915149927139282,0.934002,0.9210569858551025,0.9815828358535152,0.978899093635948,0.90668585701546,0.9861402714931045,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,(205) 387-4000,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,4.0,0.0,0.0,7.0,1.0,1.0,7.0,0.0,2.0,10089,0.887868,0.8742327837351045,0.907733,0.867825984954834,0.872976,0.7999510169029236,0.934002,0.9186170101165771,0.984642743893354,0.9560366153426547,0.9163493806277877,0.9835278833627521,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,(251) 633-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,3,7.0,0.0,0.0,8.0,1.0,0.0,9.0,0.0,3.0,10090,0.887868,0.8591160178184509,0.907733,0.8683379888534546,0.872976,0.7681040167808533,0.934002,0.889611005783081,0.9676168279726839,0.9566006621478503,0.8798684233940605,0.9524722707050746,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,(205) 759-7111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,1,7.0,0.0,1.0,8.0,2.0,1.0,11.0,1.0,2.0,10092,0.887868,0.8634999990463257,0.907733,0.8583109974861145,0.872976,0.8298010230064392,0.934002,0.8894249796867371,0.9725544777448063,0.9455544719494768,0.9505427675061391,0.952273099722203,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,(251) 867-8061,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,3.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,10099,0.887868,0.8742327837351045,0.907733,0.876130998134613,0.872976,0.7776259779930115,0.934002,0.9048931558588238,0.984642743893354,0.965185795971517,0.8907758953201594,0.9688342807176257,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,7.0,0.0,0.0,7.0,1.0,2.0,9.0,0.0,0.0,10100,0.887868,0.8710209727287292,0.907733,0.8685280084609985,0.872976,0.7955700159072876,0.934002,0.9010840058326721,0.9810253018790285,0.9568099963987191,0.9113309139166341,0.9647559703648088,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,(256) 761-4542,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,N,2,3.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,10101,0.887868,0.8742327837351045,0.907733,0.878292977809906,0.872976,0.8205230236053467,0.934002,0.9048931558588238,0.984642743893354,0.9675675312122684,0.9399147555091396,0.9688342807176257,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,(205) 783-3800,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,3,7.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,1.0,10103,0.887868,0.8404049873352051,0.907733,0.8820989727973938,0.872976,0.8172150254249573,0.934002,0.9055960178375244,0.9465427150603526,0.9717603885695395,0.9361254208878106,0.9695868079913367,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,(205) 971-1000,Acute Care Hospitals,Proprietary,Yes,Y,N,2,7.0,0.0,1.0,8.0,2.0,0.0,11.0,0.0,1.0,10104,0.887868,0.8730729818344116,0.907733,0.8762850165367126,0.872976,0.7986329793930054,0.934002,0.8931090235710144,0.9833364664954831,0.9653554696554082,0.9148395596133289,0.9562174637431338,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,N,3,4.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,10108,0.887868,0.8742327837351045,0.907733,0.8620780110359192,0.872976,0.8197939991950989,0.934002,0.9071409702301025,0.984642743893354,0.9497043855802523,0.9390796530432668,0.9712409290666428,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,(334) 289-4000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,N,Y,3,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,10112,0.887868,0.8742327837351045,0.907733,0.8729590177536011,0.872976,0.8052319884300232,0.934002,0.9048931558588238,0.984642743893354,0.9616913979701092,0.92239876976002,0.9688342807176257,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,(251) 435-4700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,N,Y,2,7.0,0.0,1.0,8.0,1.0,0.0,11.0,0.0,2.0,10113,0.887868,0.8809509873390198,0.907733,0.8804180026054382,0.872976,0.7759749889373779,0.934002,0.8926929831504822,0.992209413267535,0.9699085552749963,0.8888846760247452,0.9557720252745521,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,(205) 481-7000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,N,Y,2,4.0,0.0,0.0,6.0,1.0,1.0,6.0,0.0,1.0,10114,0.887868,0.8742327837351045,0.907733,0.8847129940986633,0.872976,0.8323839902877808,0.934002,0.9058099985122681,0.984642743893354,0.9746401134459839,0.9535015742560858,0.9698159088655786,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,(334) 418-4100,Acute Care Hospitals,Proprietary,Yes,N,Y,2,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,10118,0.887868,0.8742327837351045,0.907733,0.8862760066986084,0.872976,0.7739329934120178,0.934002,0.9143580198287964,0.984642743893354,0.9763619992868039,0.8865455561344388,0.9789679463521452,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,(205) 485-7117,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,N,4,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,10125,0.887868,0.8742327837351045,0.907733,0.8716980218887329,0.872976,0.837028980255127,0.934002,0.9205129742622375,0.984642743893354,0.9603022275148451,0.9588224421463213,0.9855578192147743,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,Acute Care Hospitals,Government - Federal,Yes,N,N,3,3.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,10126,0.887868,0.8742327837351045,0.907733,0.8642399907112122,0.872976,0.7851560115814209,0.934002,0.9048931558588238,0.984642743893354,0.9520861208210037,0.8994016004809078,0.9688342807176257,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,(205) 338-3301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,N,2,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,10130,0.887868,0.8742327837351045,0.907733,0.8654950261116028,0.872976,0.7615370154380798,0.934002,0.9058189988136292,0.984642743893354,0.9534687249572317,0.8723458782808231,0.9698255451419046,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,(256) 882-3100,Acute Care Hospitals,Proprietary,Yes,Y,Y,3,6.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,10131,0.887868,0.8795779943466187,0.907733,0.8817070126533508,0.872976,0.8082680106163025,0.934002,0.8936700224876404,0.9906630201185521,0.9713285874297297,0.9258765540132862,0.9568181036953244,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,(251) 460-5220,Acute Care Hospitals,Proprietary,Yes,Y,Y,2,7.0,0.0,0.0,8.0,2.0,0.0,9.0,0.0,3.0,10144,0.887868,0.8681439757347107,0.907733,0.8681420087814331,0.872976,0.8242260217666626,0.934002,0.921645998954773,0.9777849587266471,0.9563847615779454,0.9441565653198515,0.986770905153065,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,(251) 578-2480,Acute Care Hospitals,Proprietary,Yes,Y,N,2,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,10148,0.887868,0.8742327837351045,0.907733,0.8652859926223755,0.872976,0.8184710144996643,0.934002,0.8921530246734619,0.984642743893354,0.9532384441486379,0.9375641649938421,0.9551939125113885,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,(334) 244-8330,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,4.0,0.0,0.0,7.0,2.0,1.0,6.0,0.0,1.0,10149,0.887868,0.8742327837351045,0.907733,0.8617179989814758,0.872976,0.7735210061073303,0.934002,0.8943139910697937,0.984642743893354,0.9493077799104757,0.886073621849089,0.9575075760756333,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers,Meets or Falls Below Peers
